Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Puy LOurs Savigny Goudelet 23-|2023|Borgoña|Chardonnay|130€|Nariz: limão, ervas, mineral. Boca: seco cremoso. Goudelet top. Beba agora-2030.|WA: 91 | Peñín: 90
Raveneau Chab 1C M Tonnerre 22-|2022|Borgoña|Chardonnay|504€|Nariz: limão, maçã, mineral. Boca: seco tenso. Montée de Tonnerre top. Beba agora-2035.|WA: 95 | JS: 94
Raveneau Chablis 19-|2019|Borgoña|Chardonnay|289€|Nariz: limão, ervas, mineral. Boca: seco puro. Chablis top. Beba agora-2030.|WA: 93 | Peñín: 92
Raveneau Chablis 1C Butteaux 15-|2015|Borgoña|Chardonnay|982€|Nariz: limão maduro, mineral. Boca: cremoso complexo. Maduro top. Beba agora.|WA: 94 | Peñín: 93
Raveneau Chablis 1C Butteaux 22-|2022|Borgoña|Chardonnay|520€|Nariz: limão, ervas. Boca: seco tenso. Butteaux top. Beba agora-2035.|WA: 95 | JS: 94
Raveneau Chablis 1C Foret 16-|2016|Borgoña|Chardonnay|868€|Nariz: maçã, limão, mineral. Boca: cremoso puro. La Forest top. Beba agora-2035.|WA: 94 | Peñín: 93
Raveneau Chablis 1C Monte Tonnerre 15-|2015|Borgoña|Chardonnay|956€|Nariz: limão maduro, mineral. Boca: denso cremoso. Montée top. Beba agora.|WA: 95 | JS: 94
Raveneau Chablis 1C Monte Tonnerre 18-|2018|Borgoña|Chardonnay|915€|Nariz: maçã, limão, mineral. Boca: cremoso elegante. Top. Beba agora-2035.|WA: 94 | Peñín: 93
Raveneau Chablis 22-|2022|Borgoña|Chardonnay|255€|Nariz: limão, ervas, mineral. Boca: seco tenso. Chablis top. Beba agora-2030.|WA: 93 | Peñín: 92
Raveneau Chablis Blanchots 16-|2016|Borgoña|Chardonnay|1829€|Nariz: limão tostado, mineral. Boca: denso puro. Blanchots top. Beba agora-2040.|WA: 96 | JS: 95
Raveneau Chablis Valmur 16-|2016|Borgoña|Chardonnay|1835€|Nariz: maçã, limão, mineral. Boca: cremoso complexo. Valmur top. Beba agora-2040.|WA: 96 | Peñín: 95
Romanee Conti Corton Chalemagne 19-|2019|Borgoña|Chardonnay|16200€|Nariz: limão tostado, mineral profundo. Boca: denso eterno. Corton-Charlemagne ícone. Beba agora-2050. Luxo máximo.|WA: 97 | JS: 98
Romanee Conti Montrachet 09-|2009|Borgoña|Chardonnay|35000€|Nariz: limão maduro, mel, mineral. Boca: cremoso infinito. Montrachet lendário. Beba agora.|WA: 98 | JS: 99
Romanee Conti Montrachet 19-|2019|Borgoña|Chardonnay|33000€|Nariz: limão, maçã, mineral. Boca: denso puro eterno. Top. Beba 2028-2060.|WA: 98 | JS: 97
Rougeot St Romain Combe Bazin 22-|2022|Borgoña|Chardonnay|118€|Nariz: limão, ervas, mineral. Boca: seco tenso. St Romain top. Beba agora-2030.|WA: 91 | Peñín: 90
Roulot Meursault Meix Chavaux 19-|2019|Borgoña|Chardonnay|1100€|Nariz: maçã, limão, mineral. Boca: cremoso elegante. Meix Chavaux top. Beba agora-2035.|WA: 94 | JS: 93
Roulot Meursault Meix Chavaux 20-|2020|Borgoña|Chardonnay|1250€|Nariz: limão tostado, mineral. Boca: denso cremoso. Top. Beba agora-2035.|WA: 95 | Peñín: 94
Roulot Meursault Meix Chavaux 22-|2022|Borgoña|Chardonnay|995€|Nariz: maçã, ervas, mineral. Boca: cremoso tenso. Top. Beba agora-2035.|WA: 94 | JS: 93
Skyaasen Pernand Vergelesses 22-|2022|Borgoña|Chardonnay|136€|Nariz: limão, maçã, mineral. Boca: seco puro. Pernand top. Beba agora-2030.|WA: 91 | Peñín: 90
Thierry Pillot Meursault 1C Charmes 22-|2022|Borgoña|Chardonnay|544€|Nariz: limão, ervas, mineral. Boca: cremoso elegante. Charmes top. Beba agora-2035.|WA: 93 | Peñín: 92
Thierry Pillot Meursault 1C Les Genevrières 22-|2022|Borgoña|Chardonnay|772€|Nariz: maçã, limão, mineral. Boca: denso cremoso. Genevrières top. Beba agora-2040.|WA: 94 | JS: 93
Thierry Pillot Meursault 1C Les Perrières 22-|2022|Borgoña|Chardonnay|882€|Nariz: limão tostado, mineral. Boca: tenso puro. Perrières top. Beba agora-2040.|WA: 95 | Peñín: 94
Thierry Pillot Meursault 1C Porusots 22-|2022|Borgoña|Chardonnay|544€|Nariz: maçã, ervas, mineral. Boca: cremoso tenso. Porusots top. Beba agora-2035.|WA: 93 | JS: 92
Tribut Dauvissat Chablis 23-|2023|Borgoña|Chardonnay|210€|Nariz: limão, ervas, mineral. Boca: seco tenso. Tribut top. Beba agora-2030.|WA: 92 | Peñín: 91
V Girardin Chass Montr VV 23-|2023|Borgoña|Chardonnay|183€|Nariz: limão, maçã, mineral. Boca: cremoso elegante. VV top. Beba agora-2030.|WA: 92 | Peñín: 91
V. Girardin Cuvée St. Vincent 23-|2023|Borgoña|Chardonnay|55€|Nariz: maçã verde, limão. Boca: seco fresco. St. Vincent top. Beba agora-2028.|WA: 90 | Peñín: 89
Vincent Girardin Batard Montrachet 23-|2023|Borgoña|Chardonnay|1575€|Nariz: limão tostado, mineral. Boca: denso puro. Bâtard top. Beba agora-2040.|WA: 95 | JS: 94
Vincent Girardin Chassagne Cailleret 22-|2022|Borgoña|Chardonnay|330€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. Cailleret top. Beba agora-2035.|WA: 93 | Peñín: 92
Vincent Girardin Chassagne Cailleret 23-|2023|Borgoña|Chardonnay|330€|Nariz: limão, ervas, mineral. Boca: seco elegante. Top. Beba agora-2035.|WA: 93 | Peñín: 92
Vincent Girardin Meurs VV 23-|2023|Borgoña|Chardonnay|167€|Nariz: maçã, limão, mineral. Boca: cremoso puro. VV top. Beba agora-2030.|WA: 92 | Peñín: 91
Vincent Girardin Meursault Perrieres 22-|2022|Borgoña|Chardonnay|410€|Nariz: limão tostado, mineral. Boca: denso cremoso. Perrieres top. Beba agora-2035.|WA: 94 | JS: 93
Vincent Girardin Montrachet 22-|2022|Borgoña|Chardonnay|2825€|Nariz: limão, maçã, mineral profundo. Boca: denso eterno. Montrachet top. Beba agora-2050.|WA: 97 | JS: 96
Vincent Girardin Pouilly Fuisse 23-|2023|Borgoña|Chardonnay|80€|Nariz: limão, ervas. Boca: seco fresco. Pouilly-Fuissé top. Beba agora-2028.|WA: 91 | Peñín: 90
Vincent Girardin Puligny 1C Combettes 22-|2022|Borgoña|Chardonnay|390€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. Combettes top. Beba agora-2035.|WA: 93 | Peñín: 92
Vincent Girardin Puligny 1C Combettes 23-|2023|Borgoña|Chardonnay|371€|Nariz: limão, ervas, mineral. Boca: seco elegante. Top. Beba agora-2035.|WA: 92 | Peñín: 91
Vincent Girardin Puligny 1C Referts 23-|2023|Borgoña|Chardonnay|310€|Nariz: maçã, limão, mineral. Boca: cremoso puro. Referts top. Beba agora-2035.|WA: 93 | Peñín: 92
Vincent Girardin Puligny VV 23-|2023|Borgoña|Chardonnay|192€|Nariz: limão, ervas, mineral. Boca: seco tenso. VV top. Beba agora-2030.|WA: 92 | Peñín: 91
Vogue Musigny BL 22-|2022|Borgoña|Pinot Noir|2250€|Nariz: morango mineral sutil. Boca: denso cremoso. Musigny BL top. Beba agora-2045.|WA: 96 | JS: 95
Vougeraie Chevalier Montrac 18-|2018|Borgoña|Chardonnay|755€|Nariz: limão maduro, mineral. Boca: cremoso complexo. Chevalier top. Beba agora-2035.|WA: 94 | Peñín: 93
Ch Smith Haut Lafite BL 22-|2022|Burdeos|Sauvignon Blanc|375€|Nariz: maracujá, ervas, mineral. Boca: seco tenso. Smith Haut Lafite BL top. Beba agora-2030. Ostras.|WA: 93 | Peñín: 92
Cos d Estournel Saint Estephe 20 BL-|2020|Burdeos|Sauvignon Blanc|386€|Nariz: limão, maçã, mineral. Boca: cremoso elegante. Cos BL top. Beba agora-2030.|WA: 92 | Peñín: 91
Cos d Estournel Saint Estephe 21 BL-|2021|Burdeos|Sauvignon Blanc|367€|Nariz: maracujá, ervas. Boca: seco puro. Top. Beba agora-2030.|WA: 91 | Peñín: 90
Cos Estournel St Estephe 19 BL-|2019|Burdeos|Sauvignon Blanc|310€|Nariz: limão, maçã verde. Boca: tenso mineral. Top. Beba agora-2028.|WA: 92 | Peñín: 91
Pavillon Blanc Ch Margaux 22-|2022|Burdeos|Sauvignon Blanc|833€|Nariz: maracujá, ervas, mineral. Boca: seco cremoso. Pavillon Blanc top. Beba agora-2035.|WA: 95 | JS: 94
Pavillon Blanc de Ch Margaux 12 BL-|2012|Burdeos|Sauvignon Blanc|615€|Nariz: limão maduro, mel. Boca: cremoso complexo. Maduro top. Beba agora.|WA: 94 | Peñín: 93
Pavillon Blanc de Ch Margaux 17 BL-|2017|Burdeos|Sauvignon Blanc|604€|Nariz: maçã, limão, mineral. Boca: seco elegante. Top. Beba agora-2030.|WA: 93 | JS: 92
Cellier Saint Benoit Arbois Chardonnay Les Charots 22-|2022|Jura|Chardonnay|125€|Nariz: limão, maçã, mineral. Boca: seco tenso. Les Charots top. Beba agora-2030.|WA: 92 | Peñín: 91
Domaine Macle Cotes du Jura Sous Voile 18-|2018|Jura|Savagnin|72€|Nariz: nozes, maçã seca, oxidativo. Boca: seco longo. Sous Voile top. Beba agora-2035. Queijos ou foie.|WA: 93 | Peñín: 92
Macle Chateau Chalon 18-|2018|Jura|Savagnin|250€|Nariz: mel, nozes, mineral. Boca: denso oxidativo. Château Chalon top. Beba agora-2040.|WA: 94 | Peñín: 93
Pieds Sur Terre Savag Ouille 22-|2022|Jura|Chardonnay|87€|Nariz: limão, ervas, mineral. Boca: seco puro. Ouille top. Beba agora-2028.|WA: 91 | Peñín: 90
Tissot Arbois Savagnin Sous Voile 20-|2020|Jura|Savagnin|124€|Nariz: nozes, maçã, oxidativo. Boca: seco longo. Sous Voile top. Beba agora-2035.|WA: 93 | Peñín: 92
Tissot Arbois Savagnin Sous Voile 21-|2021|Jura|Savagnin|108€|Nariz: mel, mineral. Boca: denso elegante. Top. Beba agora-2035.|WA: 92 | Peñín: 91
Tissot Chateau Chalon 16-|2016|Jura|Savagnin|260€|Nariz: nozes maduras, mineral. Boca: oxidativo complexo. Top. Beba agora-2040.|WA: 94 | Peñín: 93
Cigalus Blanc 23-|2023|Languedoc-Roussillon|Chardonnay|86€|Nariz: limão tostado, maçã, mineral. Boca: cremoso denso. Cigalus top. Beba agora-2030.|WA: 92 | Peñín: 91
Villa Soleia 21-|2021|Languedoc-Roussillon|Garnacha Blanca|330€|Nariz: pêssego, limão, ervas. Boca: seco cremoso. Soleia top. Beba agora-2030.|WA: 93 | Peñín: 92
Bretaudeau Gabbro 23-|2023|Loira|Melon de Bourgogne|72€|Nariz: maçã verde, limão, mineral. Boca: seco fresco. Gabbro top. Beba agora-2028.|WA: 91 | Peñín: 90
Cherrier Cuvee Phillipa 23-|2023|Loira|Sauvignon Blanc|68€|Nariz: maracujá, ervas. Boca: seco tenso. Phillipa top. Beba agora-2028.|WA: 90 | Peñín: 89
Cherrier Sancerre 23-|2023|Loira|Sauvignon Blanc|65€|Nariz: limão, ervas, mineral. Boca: seco puro. Sancerre top. Beba agora-2028.|WA: 91 | Peñín: 90
Clos Rougeard Breze 19-|2019|Loira|Chenin Blanc|405€|Nariz: maçã madura, mel, mineral. Boca: seco cremoso. Breze top. Beba agora-2035.|WA: 94 | Peñín: 93
Clos Rougeard Breze 2018-|2018|Loira|Chenin Blanc|508€|Nariz: limão, ervas, mineral. Boca: denso elegante. Top. Beba agora-2035.|WA: 93 | JS: 92
Dagueneau Blanc ETC 22-|2022|Loira|Sauvignon Blanc|205€|Nariz: maracujá, ervas, mineral. Boca: seco tenso. ETC top. Beba agora-2030.|WA: 93 | Peñín: 92
Dagueneau Mont Damne 22-|2022|Loira|Sauvignon Blanc|310€|Nariz: limão, ervas, mineral. Boca: cremoso puro. Mont Damné top. Beba agora-2035.|WA: 95 | JS: 94
Dagueneau Pur Sang 22-|2022|Loira|Sauvignon Blanc|300€|Nariz: maçã verde, flores, mineral. Boca: seco vibrante. Pur Sang top. Beba agora-2035.|WA: 94 | Peñín: 93
Dagueneau Silex 09-|2009|Loira|Sauvignon Blanc|662€|Nariz: limão maduro, mineral. Boca: cremoso complexo. Maduro top. Beba agora.|WA: 95 | Peñín: 94
Dagueneau Silex 22-|2022|Loira|Sauvignon Blanc|439€|Nariz: maracujá, ervas, silex. Boca: seco tenso. Silex top. Beba agora-2035.|WA: 96 | JS: 95
Dagueneau VDF Buisson Renard 22-|2022|Loira|Sauvignon Blanc|289€|Nariz: limão, ervas. Boca: seco puro. Buisson Renard top. Beba agora-2030.|WA: 93 | Peñín: 92
Dagueneau XXI 21-|2021|Loira|Sauvignon Blanc|295€|Nariz: maçã, limão, mineral. Boca: cremoso elegante. XXI top. Beba agora-2035.|WA: 94 | JS: 93
Domaine du Bouchot MCMLV 22-|2022|Loira|Sauvignon Blanc|68€|Nariz: maracujá, ervas. Boca: seco fresco. MCMLV top. Beba agora-2028.|WA: 91 | Peñín: 90
Domaine du Bouchot Terres Blanches 22-|2022|Loira|Sauvignon Blanc|55€|Nariz: limão, ervas, mineral. Boca: seco tenso. Terres Blanches top. Beba agora-2028.|WA: 90 | Peñín: 89
Domaine Vacheron Sancerre Bl 23-|2023|Loira|Sauvignon Blanc|65€|Nariz: maracujá, limão. Boca: seco puro. Vacheron top. Beba agora-2028.|WA: 92 | Peñín: 91
Domaine Vacheron Sancerre bl 24-|2024|Loira|Sauvignon Blanc|70€|Nariz: ervas, limão. Boca: seco vibrante. Jovem top. Beba agora-2028.|WA: N/A | Peñín: 90
