"nome","anada","bodega","tipo","pod"
"Château Mouton-Rothschild","2019","Château Mouton-Rothschild","Tinto","POD010117"
"Château Mouton-Rothschild","2020","Château Mouton-Rothschild","Tinto","POD010676"
"Château Mouton-Rothschild","2021","Château Mouton-Rothschild","Tinto","POD011856"
"Château Mouton-Rothschild","1982","Château Mouton-Rothschild","Tinto","POD015776"
"Château Nenin","2022","Château Nenin","Tinto","POD017964"
"Château Palmer","2020","Château Palmer","Tinto","POD011142"
"Château Palmer","2022","Château Palmer","Tinto","POD018003"
"Château Palmer","2018","Château Palmer","Tinto","POD008746"
"Château Palmer","2019","Château Palmer","Tinto","POD010110"
"Château Palmer","2021","Château Palmer","Tinto","POD011793"
"Château Pape Clement","2022","Château Pape Clement","Tinto","POD017968"
"Château Pavie","2003","Château Pavie","Tinto","POD016058"
"Château Pavie","2010","Château Pavie","Tinto","POD011719"
"Château Pavie","2012","Château Pavie","Tinto","POD011548"
"Château Pavie","2016","Château Pavie","Tinto","POD016373"
"Château Pavie","2000","Château Pavie","Tinto","POD016422"
"Château Pavie","2005","Château Pavie","Tinto","POD016434"
"Château Pavie","2015","Château Pavie","Tinto","POD011549"
"Château Pavie","2020","Château Pavie","Tinto","POD010665"
"Château Pavie","2021","Château Pavie","Tinto","POD011858"
"Château Peby-Faugueres","2018","Château Peby-Faugueres","Tinto","POD008532"
"Château Peby-Faugueres","2021","Château Peby-Faugueres","Tinto","POD012443"
"Phelan Segur","2022","Phelan Segur","Tinto","POD017958"
"Château Pichon Baron Longueville","2022","Château Pichon Baron Longueville","Tinto","POD017984"
"Château Pichon Longueville Baron","2019","Château Pichon Longueville Baron","Tinto","POD009470"
"Château Pichon Longueville Baron","2020","Château Pichon Longueville Baron","Tinto","POD010678"
"Château Pichon Longueville Baron","2021","Château Pichon Longueville Baron","Tinto","POD013030"
"Château Pichon Longueville Comtesse Lalande","2019","Château Pichon Longueville Comtesse Lalande","Tinto","POD009469"
"Château Pichon Longueville Comtesse Lalande","2020","Château Pichon Longueville Comtesse Lalande","Tinto","POD010655"
"Château Pichon Longueville Comtesse Lalande","2021","Château Pichon Longueville Comtesse Lalande","Tinto","POD011790"
"Château Pontet Canet","2022","Château Pontet Canet","Tinto","POD017975"
"Château Pontet-Canet","2010","Château Pontet-Canet","Tinto","POD016374"
"Château Pontet-Canet","2018","Château Pontet-Canet","Tinto","POD008773"
"Château Rauzan-Ségla","2010","Château Rauzan-Ségla","Tinto","POD010931"
"Château Rauzan-Ségla","2016","Château Rauzan-Ségla","Tinto","POD010932"
"Château Rauzan-Ségla","2022","Château Rauzan-Ségla","Tinto","POD017974"
"Château Rocheyron","2021","Château Rocheyron","Tinto","POD012352"
"Château Rocheyron","2020","Château Rocheyron","Tinto","POD009932"
"Château Smith Haut Lafite","2009","Château Smith Haut Lafite","Tinto","POD016919"
"Château Smith Haut Lafite","2022","Château Smith Haut Lafite","Tinto","POD017980"
"Château Talbot","2019","Château Talbot","Tinto","POD016284"
"Château Troplong Mondot","2022","Château Troplong Mondot","Tinto","POD017978"
"Château Trotanoy","2021","Château Trotanoy","Tinto","POD016850"
"Château Valandraud","2019","Château Valandraud","Tinto","POD016378"
"Château Angélus","2010","Château Angélus","Tinto","POD004213"
"Château Angélus","2017","Château Angélus","Tinto","POD008405"
"Château Ausone","2017","Château Ausone","Tinto","POD008401"
"Château Belair-Monange","2017","Château Belair-Monange","Tinto","POD008511"
"Château Belair-Monange","2018","Château Belair-Monange","Tinto","POD008780"
"Château Cheval Blanc","2014","Château Cheval Blanc","Tinto","POD004220"
"Château Cheval Blanc","2015","Château Cheval Blanc","Tinto","POD006618"
"Château Cheval Blanc","2017","Château Cheval Blanc","Tinto","POD008400"
"Château Cheval Blanc","2018","Château Cheval Blanc","Tinto","POD008654"
"Château Cheval Blanc","2019","Château Cheval Blanc","Tinto","POD_TEMP_1048"
"Château Cheval Blanc","1998","Château Cheval Blanc","Tinto","POD016515"
"Château Haut-Brion","2009","Château Haut-Brion","Tinto","POD006645"
"Château Haut-Brion","2018","Château Haut-Brion","Tinto","POD008582"
"Château La Conseillante","2018","Château La Conseillante","Tinto","POD008748"
"Château Lafite-Rothschild","2012","Château Lafite-Rothschild","Tinto","POD011132"
"Château Latour","1996","Château Latour","Tinto","POD009345"
"Château Latour","1999","Château Latour","Tinto","POD009344"
"Château Margaux","2015","Château Margaux","Tinto","POD006614"
"Château Margaux","2016","Château Margaux","Tinto","POD016293"
"Château Margaux","2017","Château Margaux","Tinto","POD008402"
"Château Mouton-Rothschild","2009","Château Mouton-Rothschild","Tinto","POD006647"
"Château Mouton-Rothschild","2010","Château Mouton-Rothschild","Tinto","POD006648"
"Château Mouton-Rothschild","2015","Château Mouton-Rothschild","Tinto","POD004263"
"Château Mouton-Rothschild","2017","Château Mouton-Rothschild","Tinto","POD008399"
"Château Palmer","2016","Château Palmer","Tinto","POD008154"
"Château Palmer","2017","Château Palmer","Tinto","POD008382"
"Château Pavie","2014","Château Pavie","Tinto","POD013849"
"Château Pavie","2017","Château Pavie","Tinto","POD013850"
"Château Pavie","2018","Château Pavie","Tinto","POD013851"
"Château Pavie","2020","Château Pavie","Tinto","POD_TEMP_1049"
"Château Pavie","2021","Château Pavie","Tinto","POD_TEMP_1050"
"Château Potensac","2022","Château Potensac","Tinto","POD017952"
"Château Trotanoy","2016","Château Trotanoy","Tinto","POD007939"
"Château Trotanoy","2018","Château Trotanoy","Tinto","POD008788"
"Clos Du Clocher","2019","Clos Du Clocher","Tinto","POD010105"
"Clos Du Clocher","2021","Clos Du Clocher","Tinto","POD012440"
"Clos Fourtet","2018","Clos Fourtet","Tinto","POD016383"
"Clos Fourtet","2019","Clos Fourtet","Tinto","POD016285"
"Clos Fourtet","2019","Clos Fourtet","Tinto","POD_TEMP_1051"
"Cos d´Estournel","2021","Cos d´Estournel","Tinto","POD011855"
"Cos d´Estournel","2010","Cos d´Estournel","Tinto","POD007220"
"Cos d´Estournel","2017","Cos d´Estournel","Tinto","POD008383"
"Cos d´Estournel","2009","Cos d´Estournel","Tinto","POD011819"
"Cos d´Estournel","2019","Cos d´Estournel","Tinto","POD010119"
"Cos d´Estournel","2020","Cos d´Estournel","Tinto","POD010656"
"Cos d´Estournel","2022","Cos d´Estournel","Tinto","POD017993"
"Domaine de Chevalier","2015","Domaine de Chevalier","Tinto","POD006617"
"Château Cheval Blanc","2009","Château Cheval Blanc","Tinto","POD013564"
"Domaine de Chevalier","2022","Domaine de Chevalier","Tinto","POD017965"
"Château Haut-Brion","2018","Château Haut-Brion","Tinto","POD008777"
"Château Haut-Brion","2022","Château Haut-Brion","Tinto","POD017837"
"Château Ducru-Beaucaillou","2022","Château Ducru-Beaucaillou","Tinto","POD017957"
"Château La Mission Haut-Brion","2013","Château La Mission Haut-Brion","Tinto","POD002407"
"Château La Mission Haut-Brion","2014","Château La Mission Haut-Brion","Tinto","POD004309"
"Château La Mission Haut-Brion","2016","Château La Mission Haut-Brion","Tinto","POD007209"
"Château La Mission Haut-Brion","2017","Château La Mission Haut-Brion","Tinto","POD008353"
"Château La Mission Haut-Brion","2018","Château La Mission Haut-Brion","Tinto","POD008745"
"Château La Mission Haut-Brion","2020","Château La Mission Haut-Brion","Tinto","POD010666"
"Château La Mission Haut-Brion","2021","Château La Mission Haut-Brion","Tinto","POD011791"
"Château Angélus","2022","Château Angélus","Tinto","POD017976"
"Château Haut-Brion","2022","Château Haut-Brion","Tinto","POD_TEMP_1052"
"Château Haut-Brion","2019","Château Haut-Brion","Tinto","POD009474"
"Château Haut-Brion","2021","Château Haut-Brion","Tinto","POD011803"
"Château Mouton-Rothschild","2022","Château Mouton-Rothschild","Tinto","POD017989"
"Le Pin","2019","Le Pin","Tinto","POD013257"
"Le Pin","2020","Le Pin","Tinto","POD013258"
"Le Pin","2018","Le Pin","Tinto","POD008655"
"Le Pin","2021","Le Pin","Tinto","POD013259"
"Château Les Carmes Haut-Brion","2019","Château Les Carmes Haut-Brion","Tinto","POD010108"
"Château Les Carmes Haut-Brion","2021","Château Les Carmes Haut-Brion","Tinto","POD012439"
"Château Latour","2000","Château Latour","Tinto","POD017157"
"Château Latour","2015","Château Latour","Tinto","POD016294"
"Château Latour","2016","Château Latour","Tinto","POD009826"
"Château Cos d´Estournel","2021","Château Cos d´Estournel","Tinto","POD011800"
"Château Cos d´Estournel","2022","Château Cos d´Estournel","Tinto","POD017959"
"Château Angélus","2018","Château Angélus","Tinto","POD016289"
"Château Lafite-Rothschild","2019","Château Lafite-Rothschild","Tinto","POD010326"
"Château Lafite-Rothschild","2020","Château Lafite-Rothschild","Tinto","POD011137"
"Château Léoville-Las Cases","2009","Château Léoville-Las Cases","Tinto","POD016391"
"Château Lynch-Bages","2010","Château Lynch-Bages","Tinto","POD009446"
"Château Margaux","2022","Château Margaux","Tinto","POD017987"
"Pétrus","2021","Pétrus","Tinto","POD011853"
"Vieux Château Certan","2022","Vieux Château Certan","Tinto","POD018002"
"Valentin Morel","2023","Valentin Morel","Tinto","POD019656"
"Domaine des Closiers","2023","Domaine des Closiers","Tinto","POD018161"
"Domaine de La Janasse","2023","Domaine de La Janasse","Tinto","POD019291"
"Auguste Clape","2023","Auguste Clape","Tinto","POD018165"
"Georges Vernay","2023","Georges Vernay","Tinto","POD019266"
"Herve Souhaut","2023","Herve Souhaut","Tinto","POD019292"
"Domaine de La Janasse","2023","Domaine de La Janasse","Tinto","POD019293"
"Le Vieux Donjon","2023","Le Vieux Donjon","Tinto","POD019325"
"Clos du Mont-Olivet","2023","Clos du Mont-Olivet","Tinto","POD019250"
"Clos du Mont-Olivet","2023","Clos du Mont-Olivet","Tinto","POD019253"
"Cascina delle Rose","2023","Cascina delle Rose","Tinto","POD017280"
"Cascina delle Rose","2024","Cascina delle Rose","Tinto","POD018407"
"Ferdinando Principiano","2024","Ferdinando Principiano","Tinto","POD019754"
"Trediberri","2024","Trediberri","Tinto","POD018438"
"Terre Nere","2023","Terre Nere","Tinto","POD018797"
"Col d´Orcia","2023","Col d´Orcia","Tinto","POD019758"
"Gianni Brunelli","2023","Gianni Brunelli","Tinto","POD019756"
"Le Chiuse","2023","Le Chiuse","Tinto","POD019757"
"Masseto","2022","Masseto","Tinto","POD012506"
"Ornellaia","2021","Ornellaia","Tinto","POD012491"
"Tenuta San Guido","2021","Tenuta San Guido","Tinto","POD012028"
"Antinori","2021","Antinori","Tinto","POD012445"
"Tenuta San Guido","2023","Tenuta San Guido","Tinto","POD019759"
"Tenuta Tignanello","2022","Tenuta Tignanello","Tinto","POD018490"
"Savage","2023","Savage","Blanco","POD018076"
"Filipa Pato & William Wouters","2023","Filipa Pato & William Wouters","Tinto","POD013111"
"Richard Kershaw","2023","Richard Kershaw","Tinto","POD019671"
"Savage","2023","Savage","Tinto","POD018075"
"Savage","2023","Savage","Tinto","POD_TEMP_1055"
"Domaine Muzard","2023","Domaine Muzard","Tinto","POD_TEMP_1056"
"Artadi","2022","Artadi","Tinto","POD_TEMP_1063"
"Comtes Georges de Vogüé","2022","Comtes Georges de Vogüé","Tinto","POD_TEMP_1074"
"Mauro","2023","Mauro","Tinto","POD_TEMP_1075"
"4 Kilos","2023","4 Kilos","Tinto","POD_TEMP_1077"
"Georges Roumier","2019","Georges Roumier","Tinto","POD_TEMP_1078"
"Penfolds","2022","Penfolds","Tinto","POD_TEMP_1079"
"Cuarto Lagar","(en blanco)","Cuarto Lagar","Tinto","POD_TEMP_1080"
"Dominio de Atauta","(en blanco)","Dominio de Atauta","Tinto","POD_TEMP_1081"
"Opus One","2022","Opus One","Tinto","POD_TEMP_1085"
"Domaine Bart","2023","Domaine Bart","Tinto","POD_TEMP_1086"
"Château Ausone","2022","Château Ausone","Tinto","POD_TEMP_1087"
"Château Figeac","2022","Château Figeac","Tinto","POD_TEMP_1088"
"Château Haut-Brion","2022","Château Haut-Brion","Tinto","POD_TEMP_1089"
"Château Pavie","2022","Château Pavie","Tinto","POD_TEMP_1090"
"Valentin Morel","2022","Valentin Morel","Blanco","POD_TEMP_1091"
"Isabel Ferrando","2023","Isabel Ferrando","Tinto","POD_TEMP_1093"
"La Colombera ","2024","La Colombera ","Blanco","POD_TEMP_1094"
"Domaine de Villaine","2022","Domaine de Villaine","Blanco","POD_TEMP_BM2_0001"
"Arnaud Ente","2022","Arnaud Ente","Blanco","POD_TEMP_BM2_0002"
"Arnaud Ente","2022","Arnaud Ente","Blanco","POD_TEMP_BM2_0003"
"Arnaud Ente","2022","Arnaud Ente","Blanco","POD_TEMP_BM2_0004"
"Arnaud Ente","2022","Arnaud Ente","Blanco","POD_TEMP_BM2_0005"
"Arnaud Ente","2022","Arnaud Ente","Blanco","POD_TEMP_BM2_0006"
"Hospices de Beaune","2022","Hospices de Beaune","Blanco","POD_TEMP_BM2_0007"
"Le Puy de l’Ours","2023","Le Puy de l’Ours","Blanco","POD_TEMP_BM2_0009"
"Marquis de Laguiche","2022","Marquis de Laguiche","Blanco","POD_TEMP_BM2_0010"
"Marquis de Laguiche","2022","Marquis de Laguiche","Blanco","POD_TEMP_BM2_0011"
"Raveneau","2022","Raveneau","Blanco","POD_TEMP_BM2_0014"
"Si tu Sais","2023","Si tu Sais","Blanco","POD_TEMP_BM2_0016"
"Arnaud Ente","2022","Arnaud Ente","Blanco","POD_TEMP_BM2_0017"
"Arnaud Ente","","Arnaud Ente","Blanco","POD_TEMP_BM2_0018"
"Domaine Leflaive","2023","Domaine Leflaive","Blanco","POD_TEMP_BM2_0019"
"Lucien Muzard","2023","Lucien Muzard","Blanco","POD_TEMP_BM2_0020"
"Marquis de Laguiche","2022","Marquis de Laguiche","Blanco","POD_TEMP_BM2_0021"
"Marquis de Laguiche","","Marquis de Laguiche","Blanco","POD_TEMP_BM2_0022"
"Pierre Morey","2023","Pierre Morey","Blanco","POD_TEMP_BM2_0023"
"Vincent Girardin","2023","Vincent Girardin","Blanco","POD_TEMP_BM2_0025"
"Vincent Girardin","2022","Vincent Girardin","Blanco","POD_TEMP_BM2_0026"
"Vincent Girardin","2023","Vincent Girardin","Blanco","POD_TEMP_BM2_0027"
"Pernot","2022","Pernot","Tinto","POD_TEMP_BM2_0028"
"Prieuré Roch","2022","Prieuré Roch","Tinto","POD_TEMP_BM2_0029"
"D. L’Arlot","2023","D. L’Arlot","Tinto","POD_TEMP_BM2_0030"
"D. de l’Arlot","2023","D. de l’Arlot","Tinto","POD_TEMP_BM2_0031"
"D. de l’Arlot","2022","D. de l’Arlot","Tinto","POD_TEMP_BM2_0032"
"Henri Magnien / François Thurot","2022","Henri Magnien / François Thurot","Tinto","POD_TEMP_BM2_0036"
"Jean Grivot","2023","Jean Grivot","Tinto","POD_TEMP_BM2_0038"
"Jean Grivot","2023","Jean Grivot","Tinto","POD_TEMP_BM2_0039"
"Le Puy de l’Ours","2023","Le Puy de l’Ours","Tinto","POD_TEMP_BM2_0040"
"Les Terres de Philéandre","2022","Les Terres de Philéandre","Tinto","POD_TEMP_BM2_0041"
"Pierre Morey","","Pierre Morey","Blanco","POD_TEMP_BM2_0047"
"Comtes Georges de Vogüé","","Comtes Georges de Vogüé","Tinto","POD_TEMP_BM2_0048"
"D. de l’Arlot","2022","D. de l’Arlot","Tinto","POD_TEMP_BM2_0049"
"D. de l’Arlot","2023","D. de l’Arlot","Tinto","POD_TEMP_BM2_0050"
"Hubert Lignier","2022","Hubert Lignier","Tinto","POD_TEMP_BM2_0051"
"Hubert Lignier","2022","Hubert Lignier","Tinto","POD_TEMP_BM2_0052"
"Jean Grivot","2022","Jean Grivot","Tinto","POD_TEMP_BM2_0053"
"Jean Grivot","2023","Jean Grivot","Tinto","POD_TEMP_BM2_0054"
"Jean Grivot","2022","Jean Grivot","Tinto","POD_TEMP_BM2_0055"
"Jean Grivot","2022","Jean Grivot","Tinto","POD_TEMP_BM2_0056"
"Lucien Muzard","2023","Lucien Muzard","Blanco","POD_TEMP_BM2_0057"
"Michel Lafarge","2022","Michel Lafarge","Tinto","POD_TEMP_BM2_0058"
"Pacalet","2023","Pacalet","Tinto","POD_TEMP_BM2_0060"
"Pierre Morey","2023","Pierre Morey","Tinto","POD_TEMP_BM2_0062"
"Prieuré Roch","2021","Prieuré Roch","Tinto","POD_TEMP_BM2_0063"
"Prieuré Roch","2022","Prieuré Roch","Tinto","POD_TEMP_BM2_0064"
"des Perdrix","2022","des Perdrix","Tinto","POD_TEMP_BM2_0065"
"des Perdrix","2023","des Perdrix","Tinto","POD_TEMP_BM2_0066"
"des Perdrix","2023","des Perdrix","Tinto","POD_TEMP_BM2_0067"
"Borgogno","2023","Borgogno","Tinto","POD_TEMP_BM2_0068"
"Falletto","2020","Falletto","Tinto","POD_TEMP_BM2_0069"
"G.D. Vajra","2023","G.D. Vajra","Tinto","POD_TEMP_BM2_0070"
"Podere San Giuseppe (Bacia)","2019","Podere San Giuseppe (Bacia)","Tinto","POD_TEMP_BM2_0071"
"Falletto","2022","Falletto","Tinto","POD_TEMP_BM2_0072"
"Ornellaia","2019","Ornellaia","Tinto","POD_TEMP_BM2_0073"
"Ornellaia","2021","Ornellaia","Tinto","POD_TEMP_BM2_0074"
"Ornellaia","2022","Ornellaia","Tinto","POD_TEMP_BM2_0075"
"Domaine Delaporte","2022","Domaine Delaporte","Blanco","POD_TEMP_BM2_0076"
"Isabel Ferrando (Saint Préfert)","2023","Isabel Ferrando (Saint Préfert)","Tinto","POD_TEMP_BM2_0077"
"Isabel Ferrando (Saint Préfert)","2022","Isabel Ferrando (Saint Préfert)","Tinto","POD_TEMP_BM2_0078"
"Isabel Ferrando (Saint Préfert)","2022","Isabel Ferrando (Saint Préfert)","Tinto","POD_TEMP_BM2_0079"
"Château Fuissé","2020","Château Fuissé","Blanco","POD_TEMP_BM2_0080"
"Brand et Fils","","Brand et Fils","Blanco","POD_TEMP_BM2_0081"
"Caciorgna","2022","Caciorgna","Blanco","POD_TEMP_BM2_0082"
"Château Smith Haut Lafitte","2022","Château Smith Haut Lafitte","Blanco","POD_TEMP_BM2_0083"
"Fides (Crimorgat)","2018","Fides (Crimorgat)","Blanco","POD_TEMP_BM2_0084"
"Filippi","2023","Filippi","Blanco","POD_TEMP_BM2_0085"
"La Croisée des Chenins","2017","La Croisée des Chenins","Blanco","POD_TEMP_BM2_0087"
"Taittinger","2022","Taittinger","Blanco","POD_TEMP_BM2_0089"
"Tenuta delle Terre Nere","2023","Tenuta delle Terre Nere","Blanco","POD_TEMP_BM2_0090"
"Besson Frères","2022","Besson Frères","Tinto","POD_TEMP_BM2_0091"
"Salem Wine Co.","2021","Salem Wine Co.","Blanco","POD_TEMP_BM2_0092"
"Ceritas","2022","Ceritas","Blanco","POD_TEMP_BM2_0093"
"La Source","2023","La Source","Blanco","POD_TEMP_BM2_0094"
"Seven Springs","2022","Seven Springs","Blanco","POD_TEMP_BM2_0095"
"Seven Springs","2022","Seven Springs","Tinto","POD_TEMP_BM2_0096"
"Shafer","2021","Shafer","Tinto","POD_TEMP_BM2_0097"
"Sine Qua Non","2024","Sine Qua Non","Tinto","POD_TEMP_BM2_0098"
"Spioenkop","2020","Spioenkop","Tinto","POD_TEMP_BM2_0099"
"Summum","2022","Summum","Blanco","POD_TEMP_BM2_0100"
"Promontory","2015","Promontory","Tinto","POD_TEMP_BM2_0101"
"Promontory","2016","Promontory","Tinto","POD_TEMP_BM2_0102"
"Promontory","2018","Promontory","Tinto","POD_TEMP_BM2_0103"
"Promontory","2019","Promontory","Tinto","POD_TEMP_BM2_0104"
"Racines","2019","Racines","Tinto","POD_TEMP_BM2_0105"
"Racines","2020","Racines","Tinto","POD_TEMP_BM2_0106"
"Screaming Eagle","2019","Screaming Eagle","Tinto","POD_TEMP_BM2_0107"
"Screaming Eagle","2021","Screaming Eagle","Tinto","POD_TEMP_BM2_0108"
"Shannon","2020","Shannon","Tinto","POD_TEMP_BM2_0109"
